,Image_Name,Label,Orginial_Name,brightness,Original_height,Original_width,intensity_blue,intensity_green,intensity_red,edge_density
normalised_0.jpg,normalised_0.jpg,buildings,0.jpg,165.46626666666666,150,150,164.23,165.36,166.8,0.3985
normalised_10006.jpg,normalised_10006.jpg,buildings,10006.jpg,131.72385185185186,150,150,135.0,130.53,129.64,0.6245
normalised_1001.jpg,normalised_1001.jpg,buildings,1001.jpg,121.22573333333334,150,150,126.32,123.41,113.95,0.7243
normalised_10014.jpg,normalised_10014.jpg,buildings,10014.jpg,155.8554814814815,150,150,165.78,140.36,161.43,0.4998
normalised_10018.jpg,normalised_10018.jpg,buildings,10018.jpg,75.68111111111111,150,150,96.63,77.88,52.53,0.3228
normalised_10029.jpg,normalised_10029.jpg,buildings,10029.jpg,103.8917037037037,150,150,110.37,108.5,92.8,0.4308
normalised_10032.jpg,normalised_10032.jpg,buildings,10032.jpg,147.86202962962963,150,150,152.34,148.42,142.82,0.5995
normalised_10056.jpg,normalised_10056.jpg,buildings,10056.jpg,131.07641481481483,150,150,126.41,139.56,127.26,0.6751
normalised_1009.jpg,normalised_1009.jpg,buildings,1009.jpg,136.3645037037037,150,150,124.31,141.15,143.62,0.5226
normalised_10113.jpg,normalised_10113.jpg,buildings,10113.jpg,127.94204444444445,150,150,106.03,127.29,150.51,0.6316
normalised_1012.jpg,normalised_1012.jpg,buildings,1012.jpg,144.07004444444445,150,150,112.84,135.15,184.22,0.46
normalised_10126.jpg,normalised_10126.jpg,buildings,10126.jpg,97.46042962962963,150,150,91.37,96.23,104.78,0.703
normalised_10144.jpg,normalised_10144.jpg,buildings,10144.jpg,118.00183703703703,150,150,118.53,117.25,118.23,0.9173
normalised_10151.jpg,normalised_10151.jpg,buildings,10151.jpg,122.64394074074075,150,150,136.75,123.2,107.99,0.3863
normalised_10161.jpg,normalised_10161.jpg,buildings,10161.jpg,102.62026666666667,150,150,91.58,80.43,135.85,0.5715
normalised_10165.jpg,normalised_10165.jpg,buildings,10165.jpg,98.52992592592592,150,150,91.05,102.1,102.44,0.7125
normalised_10176.jpg,normalised_10176.jpg,buildings,10176.jpg,147.44232592592593,150,150,148.69,151.16,142.48,0.6675
normalised_10184.jpg,normalised_10184.jpg,buildings,10184.jpg,105.4142962962963,150,150,127.77,114.73,73.74,0.5656
normalised_10185.jpg,normalised_10185.jpg,buildings,10185.jpg,118.21346666666666,150,150,118.34,120.6,115.71,0.7692
normalised_10191.jpg,normalised_10191.jpg,buildings,10191.jpg,125.04222222222222,150,150,116.73,127.9,130.49,0.6634
normalised_10196.jpg,normalised_10196.jpg,buildings,10196.jpg,131.5452740740741,150,150,130.33,132.06,132.24,0.6767
normalised_10198.jpg,normalised_10198.jpg,buildings,10198.jpg,152.00182222222222,150,150,164.85,153.22,137.94,0.5237
normalised_10205.jpg,normalised_10205.jpg,buildings,10205.jpg,129.6666962962963,150,150,120.71,130.4,137.89,0.6493
normalised_10210.jpg,normalised_10210.jpg,buildings,10210.jpg,98.52882962962963,150,150,117.16,97.25,81.18,0.4162
normalised_10228.jpg,normalised_10228.jpg,buildings,10228.jpg,115.98742222222222,150,150,107.52,112.31,128.13,0.5982
normalised_10231.jpg,normalised_10231.jpg,buildings,10231.jpg,120.36211851851851,150,150,138.68,124.48,97.93,0.5151
normalised_10251.jpg,normalised_10251.jpg,buildings,10251.jpg,132.6118962962963,150,150,161.62,127.88,108.34,0.7926
